Título,Ofertas,Serie,Pantalla_Tamaño (pulgadas),Pantalla_Diagonal (cm),Pantalla_Tecnología,Pantalla_Luminosidad (cd/m²),Procesador,Disco_Duro_Tipo,Gráfica_Salida,Gráfica_Resolución externa,Conectividad_Lector de tarjetas,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Cámara_Webcam,Cámara_Función de la cámara,Cámara_Resolución de la cámara,Teclado_Tipo de teclado,Teclado_Número de teclas,Teclado_Teclas adicionales,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Altura,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Otras características_Seguridad integrada,Otras características_Sensor,Otras características_Fecha de lanzamiento,Comunicaciones_Estándar wifi,Pantalla_Resolución de pantalla,Pantalla_Densidad de píxeles,Pantalla_Tasa de actualización de imagen,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Fabricante de la tarjeta gráfica,Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Conectividad_Tipo de tarjetas compatibles,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Nombre en clave del procesador,Procesador_Nivel de caché,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,RAM_Frecuencia de la memoria,Disco duro_Capacidad de memoria SSD,Teclado_Característica del teclado,Sonido_Potencia de altavoces,Alimentación_Número de celdas,Medidas y peso_Color,Otras características_Portátil configurable,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Procesador_Potencia máx. de diseño térmico (TDP),Gráfica_Tipo de memoria gráfica,Sistema operativo_Arquitectura bit,Pantalla_Tiempo de reacción,RAM_Extensión de memoria máxima,Gráfica_Tarjeta gráfica,Comunicaciones_Transmisión de datos,Almacenamiento_Lector óptico,Alimentación_Voltaje de salida,Alimentación_Intensidad de corriente,Otras características_Características especiales,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Sonido_Modo de sonido HDMI,Alimentación_Capacidad de la batería,Otras características_Certificación,IA_Característica IA,RAM_Número de ranuras de memoria RAM,RAM_Ranura de memoria RAM instaladas,RAM_Configuración de memoria RAM,Procesador_Chipset,Otras características_Software incluido,Gráfica_GPU,Pantalla_Propiedades de la pantalla,IA_Función IA,IA_Procesador IA,Disco duro_Capacidad del disco duro,Otras características_Localización,Conectividad_Conexión,Otras características_Expansión de hardware,Otras características_Artículo incluido,Otras características_Características de la carcasa,Otras características_Certificado,Gráfica_Característica de la tarjeta gráfica,Tipo,Conectividad_Conexión frontal,Propiedades de la carcasa_Tipo de caja,Propiedades de la carcasa_Color,Medidas y peso_Alto,Propiedades de la carcasa_Material de la carcasa,Propiedades de la carcasa_Alimentación,Adecuado para,Procesador_Frecuencia del reloj,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,Procesador_Chipset de la placa base,RAM_Número de ranuras para memoria RAM,Gráfica_Número de ranuras para PCIe,"Propiedades de la carcasa_Bahía interna de 2,5""","Propiedades de la carcasa_Bahía interna de 3,5""",Disco duro_Capacidad disco duro (TB),"Propiedades de la carcasa_Bahía externa de 5,25""",Otras características_Modo de sonido,Propiedades de la carcasa_Superficie del material,Disco duro_Capacidad disco duro (GB),"Propiedades de la carcasa_Bahía externa de 3,5""",Procesador_Procesadores compatibles,Precio_Min,Precio_Max,Precio_Mean,Categoria_General
"ASUS NUC 14 Pro Slim
Kit (90AR0062-M00090)",11.0,ASUS NUC,,,,,Intel Core Ultra 5 125H,disco duro M.2 SSD,HDMI,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,57 kg",conector de seguridad Kensington,,,,,,,,Intel,Intel Core Ultra 5,0.0,,memoria compartida,ninguno,,,,Meteor Lake,,18 MB,,DDR5,,,,,,,,14 núcleos,1.200 MHz,"4,5 GHz",,,,,48 GB,Intel Arc Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,7 cm",,120 W,bricolaje,"1,2 GHz",Socket FCBGA2049,18.0,28 W,,2.0,,1.0,,,,,,,,,538.9,629.82,584.36,Otro
"HP Z2 SFF G9 Workstation
996Y3ET",11.0,HP Z2,,,,,Intel Core i7-14700,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,"30,8 cm",,"38,4 cm",,disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake Refresh,,33 MB,16 GB,DDR5,4.800 MHz,1.000 GB,,,,,,20 núcleos,2.100 MHz,"5,4 GHz",,,64-Bit,,,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,10 cm,,corriente alterna 120/230 V,empresas,"2,1 GHz",Socket 1700,28.0,65 W,,1.0,,,,,,,,,,,1207.63,1866.91,1537.27,Otro
"ASUS NUC 13 Pro Tall
Kit (90AR00B1-M00090)",9.0,,,,,,Intel Core i7-1370P,disco duro M.2 SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,75 kg",,,,,Wi-Fi 6E,,,,Intel,Core i7,0.0,,memoria compartida,ninguno,,,,Raptor Lake,,24 MB,,DDR4,3.200 MHz,,,,,,,14 núcleos,,"5,2 GHz",,,,,64 GB,Intel Iris Xe Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,4 cm",,120 W,,"1,9 GHz",,20.0,28 W,,,,1.0,,,,,,,,,790.68,894.18,842.43,Otro
"Lenovo ThinkCentre M70q Gen5
12TD000HSP",12.0,Lenovo ThinkCentre,,,,,Intel Core i7-14700T,disco duro SSD,,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"18,29 cm",,"3,65 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,33 MB,16 GB,DDR5,5.600 MHz,512 GB,,,,,,20 núcleos,,"5,2 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"17,9 cm",,135 W / corriente alterna 120/230 V,empresas,"1,3 GHz",Socket 1700,28.0,,Intel Q670,2.0,,,,,,,,,,,864.0,1132.88,998.44,Otro
"ASUS NUC 13 Pro Slim
90AR0081-M00070",9.0,,,,,,Intel Core i5-1340PE,disco duro SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm",,disco duro SSD,,,,Wi-Fi 6E,,,,Intel,Core i5,,,memoria compartida,ninguno,,,,Raptor Lake,,12 MB,16 GB,DDR4,3.200 MHz,,,,,,,12 núcleos,,"4,5 GHz",,,,,64 GB,Intel Iris Xe Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,7 cm",,,,"1,8 GHz",,16.0,64 W,,2.0,,,,,,,,,,,716.63,823.11,769.87,Otro
ASUS NUC 13 Pro Tall,103.0,,,,,,,disco duro M.2 SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm",,,,,,Wi-Fi 6E,,,,Intel,,0.0,,memoria compartida,ninguno,,,,Raptor Lake,,,,DDR4,3.200 MHz,,,,,,,,,,,,,,64 GB,,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,4 cm",,,,,,,,,,,1.0,,,,,,,,,362.5,1039.4,700.95,Otro
"HP Z2 SFF G9 Workstation
865K0ET",3.0,HP Z2,,,,,Intel Core i7-13700,disco duro SSD,DisplayPort,,,Ethernet,,,,,,,,,,,,,,,"30,8 cm",,"38,4 cm",5 kg,disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,30 MB,16 GB,DDR5,4.800 MHz,512 GB,,,,,,16 núcleos,2.100 MHz,"5,2 GHz",,,64-Bit,,128 GB,Intel UHD Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,10 cm,,450 W / corriente alterna 120/230 V,empresas,"2,1 GHz",Socket 1700,24.0,219 W,,1.0,,,,,,,,,,,1222.06,1463.78,1342.92,Otro
"ASUS NUC 12 Pro Slim
Kit (90AR00D1-M00010)",8.0,ASUS NUC,,,,,Intel Core i3-1220P,,,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Core i3,,,,,,,,Alder Lake,,,,,,,,,,,,10 núcleos,,"4,4 GHz",,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,,,,,,,Socket FCBGA 1744,12.0,,,,,,,,,,,,,,329.7,363.24,346.47,Otro
"ASUS NUC 14 Pro Slim
Kit (90AR0062-M00040)",17.0,ASUS NUC,,,,,Intel Core 3 100U,disco duro M.2 SSD,HDMI,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,48 kg",conector de seguridad Kensington,,,,,,,,,Intel Core 3,0.0,,memoria compartida,ninguno,,,,,,10 MB,,DDR5,,,,,,,,6 núcleos,1.200 MHz,"4,7 GHz",,,,,48 GB,Intel Arc Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,7 cm",,120 W,bricolaje,"1,2 GHz",,8.0,15 W,,2.0,,1.0,,,,,,,,,395.5,510.75,453.12,Otro
"ASUS ExpertCenter PN52
PN52-S9032MD",4.0,ASUS PN,,,,,AMD Ryzen 9 5900HX,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,13 cm,,12 cm,1 kg,disco duro SSD,,,,IEEE 802.11ax,,,,,,1.0,,memoria compartida,ninguno,,,,,,,16 GB,DDR4,3.200 MHz,1.000 GB,,,,,,,,,,,,,,AMD Radeon Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,,negro,"5,8 cm",,120 W,bricolaje,,,,,,2.0,,,,,,,,,,,964.63,1240.43,1102.53,Otro
Zotac ZBOX QCM7T3000,2.0,Zotac ZBOX,,,,,,,,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,,,,,,,,,,,,,,21 cm,,"20,3 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i7,0.0,,6144 MB,ninguno,,,,Comet Lake,,12 MB,,DDR4,,,,,,,,6 núcleos,2.600 MHz,5 GHz,,,,,64 GB,NVIDIA Quadro RTX 3000,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,barebone,negro,"6,22 cm",,corriente alterna 120/230 V,bricolaje,,Socket BGA1440,12.0,45 W,,2.0,,1.0,,,,canal 7.1,,,,,1269.88,2507.0,1888.44,Otro
"Zone Evil Office Plus 22AH510I
22AH510I550",4.0,,,,,,Intel Core i5-10400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,17 cm,,37 cm,,disco duro SSD,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Home,,,,Comet Lake,,12 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.900 MHz,"4,3 GHz",,,64-Bit,,,Intel HD Graphics 630,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,35 cm,,500 W,,,Socket 1200,12.0,65 W,Intel H610M,,,,,,,,,,,,444.52,459.16,451.84,Otro
"HP Z2 SFF G9 Workstation
5F166EA",3.0,HP Z2,,,,,Intel Core i7-13700,disco duro M.2 SSD,DisplayPort,,,Ethernet,,,,,,,,,,,,,,,"30,8 cm",,"38,4 cm","5,9 kg",altavoz integrado,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,30 MB,16 GB,DDR5,4.800 MHz,512 GB,,,,,,16 núcleos,2.100 MHz,"5,2 GHz",,,64-Bit,,128 GB,Intel UHD Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,10 cm,,450 W / corriente alterna 120/230 V,empresas,"2,1 GHz",Socket 1700,24.0,219 W,,,,,,,,,,,,,1181.71,1650.0,1415.86,Otro
"Acer Veriton S2 VS2710G
DT.VY4EB.004",5.0,Acer Veriton,,,,,Intel Core i7-13700,disco duro SSD,,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"30,6 cm",,16 cm,,disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,30 MB,16 GB,DDR4,,512 GB,,,,,,16 núcleos,2.100 MHz,"5,2 GHz",,,64-Bit,,,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,1 DisplayPort,,,,,,Desktop,,desktop,negro,"34,8 cm",,180 W,gaming,"2,1 GHz",Socket 1700,24.0,219 W,,,,,,,,,,,,,865.49,1000.34,932.91,Otro
Shuttle XPC slim DL20NV2,3.0,Shuttle XPC,,,,,Intel Celeron N4505,disco duro SSD,,,,"Ethernet, wifi",,,,,,,,,,,,,,,,,,,disco duro SSD,,,,,,,,Intel,Intel Celeron,0.0,,memoria compartida,ninguno,,,,Jasper Lake,,4 MB,,DDR4,,,,,,,,2 núcleos,2.000 MHz,"2,9 GHz",,,,,16 GB,Intel UHD Graphics,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,,,40 W,bricolaje,2 GHz,,2.0,10 W,,2.0,,1.0,,,,,,,,,219.08,271.17,245.12,Otro
Leotec Gemini Mini PC Intel Celeron N4000 (LEMPC12),6.0,,,,,,Intel Celeron N4000,,HDMI,,,"wifi, Ethernet, Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel Celeron,1.0,,,,,,,,,,8 GB,,,128 GB,,,,,,,,,,,,,,Intel UHD Graphics 600,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,,,,,,,,,,,,,,,,,,,,,,,166.31,280.83,223.57,Otro
Shuttle XPC slim DL30N,4.0,Shuttle XPC,,,,,Intel N100,,,,,,,,,,,,,,,,,,,,"16,5 cm",,19 cm,"0,8 kg",,,,,,,,,Intel,Intel N,,,,ninguno,,,,,,6 MB,,DDR5,,,,,,,,4 núcleos,800 MHz,"3,4 GHz",,,,,16 GB,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,,negro,"4,3 cm",,65 W,bricolaje,"0,8 GHz",,4.0,6 W,,1.0,,1.0,,,,,,,,,243.02,293.04,268.03,Otro
GigaByte BRIX GB-BMPD-6005,2.0,GigaByte BRIX,,,,,Intel Pentium Silver N6005,,,,,"wifi, Bluetooth, Ethernet",,,,,,,,,,,,,,,"10,3 cm",,"5,6 cm",,,,,,IEEE 802.11ac,,,,Intel,,,,memoria compartida,,,,,Jasper Lake,,4 MB,,DDR4,2.933 MHz,,,,,,,4 núcleos,2.000 MHz,"3,3 GHz",,,,,16 GB,Intel UHD Graphics,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,barebone,negro,"11,6 cm",,19 W,,2 GHz,Socket FCBGA1338,4.0,10 W,,1.0,,,,,,,,,,,269.07,341.96,305.51,Otro
Shuttle XPC slim DS50U,8.0,Shuttle XPC,,,,,,,,,,Ethernet,,,,,,,,,,,,,,,20 cm,,"3,95 cm","1,6 kg",,,,,,,,,Intel,,0.0,,,ninguno,,,,,,,,DDR5,,,,,,,,,,,,,,,64 GB,,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"16,5 cm",,90 W,bricolaje,,,,,,2.0,,,,,,,,,,,369.11,888.39,628.75,Otro
GigaByte BRIX GB-BMCE-4500C,4.0,GigaByte BRIX,,,,,Intel Celeron N4500,,,,,"wifi, Ethernet, Bluetooth",Bluetooth 4.2,,,,,,,,,,,,,,"11,62 cm",,"10,3 cm",,,,,,IEEE 802.11ac,,,,Intel,,,,memoria compartida,Microsoft Windows 10,,,,Jasper Lake,,4 MB,,DDR4,2.933 MHz,,,,,,,2 núcleos,1.100 MHz,"2,8 GHz",,,64-Bit,,,Intel UHD Graphics 605,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,barebone,negro,"56,2 cm",,,,"1,1 GHz",Socket FCBGA1338,2.0,6 W,,1.0,,,,,,,,,,,153.07,176.9,164.99,Otro
"Zone Evil Office Plus Slim 22AH510I
22AH510I583",6.0,,,,,,Intel Core i5-12400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,37 cm,,17 cm,,,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.500 MHz,"4,4 GHz",,,64-Bit,,,Intel UHD Graphics 730,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,desktop,negro,35 cm,,500 W / corriente alterna 120/230 V,empresas,"2,5 GHz",Socket 1700,12.0,117 W,Intel H610,,,,,,,,,,,,473.33,515.53,494.43,Otro
"Zone Evil Office Plus Slim 22AH510I
22AH510I581",5.0,,,,,,Intel Core i5-12400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,37 cm,,17 cm,,,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Home,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.500 MHz,"4,4 GHz",,,64-Bit,,,Intel UHD Graphics 730,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,desktop,negro,35 cm,,500 W / corriente alterna 120/230 V,empresas,"2,5 GHz",Socket 1700,12.0,117 W,Intel H610,,,,,,,,,,,,449.81,470.49,460.15,Otro
Acer Veriton S2 VS2710G,8.0,Acer Veriton,,,,,,disco duro SSD,,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"30,6 cm",,16 cm,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,,,,,,,,,,,,,,,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,1 DisplayPort,,,,,,Desktop,,desktop,,"34,8 cm",,,gaming,,,,,,,,,,,,,,,,,623.65,1000.34,812.0,Otro
"Lenovo ThinkCentre M70q G3
11T30030SP",3.0,Lenovo ThinkCentre,,,,,Intel Core i7-12700T,,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"18,3 cm",,"17,9 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i7,,,,Microsoft Windows 11 Professional,,,,Alder Lake,,25 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,12 núcleos,3.400 MHz,"4,7 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"3,65 cm",,135 W / corriente alterna 120/230 V,empresas,,Socket 1700,20.0,35 W,Intel Q670,2.0,,,,,,,,,,,937.1,1187.99,1062.55,Otro
"Zone Evil Office Plus Slim 22AH510I
22AH510I580",5.0,,,,,,Intel Core i5-12400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,37 cm,,17 cm,,disco duro SSD,,,,,,,,Intel,Core i5,,,memoria compartida,Microsoft Windows 11 Home,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.500 MHz,"4,4 GHz",,,64-Bit,,,Intel UHD Graphics 730,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,desktop,negro,35 cm,,500 W / corriente alterna 120/230 V,empresas,"2,5 GHz",Socket 1700,12.0,65 W,Intel H610,,,,,,,,,,,,453.67,474.53,464.1,Otro
"ASUS ExpertCenter PN42
PN42-BBN200MV",4.0,ASUS ExpertCenter,,,,,Intel N200,,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"13,2 cm",,"12,7 cm","0,84 kg",,,,,IEEE 802.11ax,,,,Intel,Intel N,,,memoria compartida,ninguno,,,,,,,,,,,,,,,,4 núcleos,,,,,,,,Intel UHD Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,8 cm",,corriente alterna 120/230 V,bricolaje,,,4.0,,,,,,,,,,,,,,266.07,320.7,293.38,Otro
"Zone Evil Office Plus 22AH510I
22AH510I551",4.0,,,,,,Intel Core i5-10400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,17 cm,,37 cm,,disco duro SSD,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Home,,,,Comet Lake,,12 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.900 MHz,"4,3 GHz",,,64-Bit,,,Intel UHD Graphics 630,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,35 cm,,500 W,,,Socket 1200,12.0,65 W,Intel H610M,,,,,,,,,,,,467.82,483.22,475.52,Otro
"Zone Evil Office Plus 22AH510I
22AH510I562",4.0,,,,,,Intel Core i5-12400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,17 cm,,37 cm,,disco duro SSD,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Home,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.500 MHz,"4,4 GHz",,,64-Bit,,128 GB,Intel UHD Graphics,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,35 cm,,500 W,,"2,5 GHz",Socket 1700,12.0,65 W,Intel H610M,,,,,,,,,,,,415.49,434.63,425.06,Otro
"ASUS NUC 14 Pro+
Kit (90AR0051-M000E0)",3.0,,,,,,Intel Core Ultra 9 185H,disco duro M.2 SSD,,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"14,4 cm","0,8 kg",conector de seguridad Kensington,,,,,,,,Intel,Intel Core Ultra 9,0.0,,memoria compartida,,,,,Meteor Lake,,24 MB,,DDR5,,,,,,,,16 núcleos,1.400 MHz,"5,1 GHz",,,,,96 GB,Intel Arc Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,plateado,"4,1 cm",,150 W,bricolaje,"1,4 GHz",Socket FCBGA2049,22.0,45 W,,2.0,,,,,,,,,,,832.49,1076.29,954.39,Otro
"Zone Evil Office Plus 22AH510I
22AH510I552",4.0,,,,,,Intel Core i5-10400,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,17 cm,,37 cm,,disco duro SSD,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Comet Lake,,12 MB,16 GB,DDR4,3.200 MHz,500 GB,,,,,,6 núcleos,2.900 MHz,"4,3 GHz",,,64-Bit,,,Intel HD Graphics 630,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,35 cm,,500 W,,,Socket 1200,12.0,65 W,Intel H610M,,,,,,,,,,,,460.49,475.66,468.08,Otro
HP Pro 400 G9 SFF,18.0,HP Pro,,,,,,,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"17,5 cm",,"17,7 cm",,,,,,IEEE 802.11ax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,"3,4 cm",,corriente alterna 120/230 V,empresas,,,,,,,,,,,,,,,,,723.73,1264.69,994.21,Otro
Lenovo ThinkStation P3 Tiny,19.0,Lenovo ThinkStation,,,,,,,,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,,,,"18,2 cm",,"3,7 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),,"17,9 cm",,corriente alterna 120/230 V,empresas,,,,,,,,,,,,,,,,,881.18,2628.95,1755.06,Otro
"ASUS ExpertCenter PN42
PN42-BBN100MV",4.0,ASUS ExpertCenter,,,,,Intel N100,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"13,2 cm",,"12,7 cm",,,,,,IEEE 802.11ax,,,,,Intel N,0.0,,memoria compartida,ninguno,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,8 cm",,corriente alterna 120/230 V,bricolaje,,,,,,,,,,,,,,,,,239.85,285.14,262.5,Otro
"Lenovo Thinkcentre M75s Gen 5 SFF
12TA0006SP",8.0,Lenovo ThinkCentre,,,,,AMD Ryzen 7 8700G,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,"29,77 cm",,"9,25 cm","4,6 kg","disco duro SSD, conector de seguridad Kensington",,,,,,,,AMD,Ryzen 7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,,,16 MB,16 GB,DDR5,5.200 MHz,512 GB,,,,,,8 núcleos,,"5,1 GHz",,,64-Bit,,64 GB,AMD Radeon 780M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,"33,95 cm",,260 W,empresas,"4,2 GHz",,16.0,,AMD Pro 665,1.0,,,,,,,,,,,930.79,1118.88,1024.84,Otro
ASUS NUC 11 Essential,4.0,,,,,,,,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"11,5 cm",,"13,5 cm",,,,,,IEEE 802.11ac,,,,,,,,memoria compartida,,,,,,,,,DDR4,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,barebone,negro,"3,6 cm",,corriente alterna 120/230 V,,,,,,,,,,,,,,,,,,207.95,319.57,263.76,Otro
